lon,lat,dominant,total,n_red_kangaroo,n_eastern_grey_kangaroo,n_koala,n_emu,n_platypus
139.25,-30.25,red_kangaroo,2334,1416,0,0,918,0
143.75,-27.75,emu,75,2,5,0,68,0
126.25,-32.25,emu,645,2,0,0,643,0
144.75,-35.25,emu,897,23,29,0,842,3
141.75,-29.25,emu,575,32,2,0,541,0
134.75,-29.25,red_kangaroo,366,284,0,0,82,0
140.75,-31.75,red_kangaroo,2229,1211,1,0,1017,0
146.25,-33.75,emu,143,2,19,1,121,0
142.25,-31.25,emu,337,63,6,0,268,0
133.75,-23.75,red_kangaroo,151,77,0,0,74,0
141.75,-32.25,emu,151,36,0,0,115,0
114.25,-26.25,emu,203,3,0,0,200,0
139.25,-33.75,red_kangaroo,794,453,0,0,341,0
139.75,-26.75,emu,36,2,0,0,34,0
140.75,-33.75,red_kangaroo,807,451,2,0,353,1
118.25,-27.25,emu,19,3,0,0,16,0
143.25,-34.25,emu,103,18,7,0,78,0
143.75,-34.25,emu,80,2,7,0,71,0
143.25,-31.25,emu,57,3,0,2,52,0
139.25,-34.75,emu,132,37,8,13,74,0
135.75,-27.75,emu,17,7,0,0,10,0
143.25,-30.75,emu,184,5,0,0,179,0
142.25,-32.25,emu,902,98,7,0,797,0
142.75,-33.75,emu,84,16,1,0,67,0
145.75,-29.25,emu,138,2,10,0,126,0
145.75,-33.25,emu,208,13,12,0,181,2
137.75,-29.75,red_kangaroo,454,348,0,0,106,0
134.75,-28.75,red_kangaroo,168,95,0,0,73,0
144.75,-31.75,emu,58,3,1,0,54,0
141.75,-31.25,emu,364,57,2,0,305,0
147.25,-29.25,emu,182,27,32,4,119,0
147.75,-29.75,emu,118,12,15,3,88,0
139.75,-30.25,red_kangaroo,883,653,0,0,230,0
139.75,-34.75,emu,129,32,3,0,94,0
146.25,-30.25,emu,147,3,10,0,134,0
145.75,-35.25,emu,415,10,22,0,383,0
145.75,-32.75,emu,877,23,241,0,613,0
139.25,-35.25,emu,286,27,7,4,245,3
136.75,-32.75,red_kangaroo,233,148,0,0,85,0
135.25,-32.75,emu,557,124,0,0,433,0
141.75,-31.75,emu,286,26,3,0,257,0
140.25,-31.75,red_kangaroo,8014,5459,1,0,2554,0
144.75,-22.75,emu,24,3,4,0,17,0
135.75,-30.25,red_kangaroo,534,475,0,0,59,0
118.75,-26.25,emu,12,1,0,0,11,0
140.25,-23.75,emu,15,2,0,0,13,0
142.25,-30.75,emu,92,22,1,0,69,0
145.75,-30.25,emu,577,32,28,2,515,0
139.75,-24.25,emu,15,1,0,0,14,0
121.25,-30.75,emu,65,3,0,0,62,0
134.25,-27.25,red_kangaroo,270,262,0,0,8,0
143.75,-24.25,emu,10,2,0,1,7,0
145.25,-33.75,emu,50,12,3,0,35,0
113.75,-22.25,emu,130,9,0,0,121,0
145.25,-31.25,emu,125,7,13,0,105,0
139.75,-23.25,emu,42,5,0,0,37,0
143.25,-26.25,emu,48,1,0,0,47,0
135.75,-32.75,emu,2990,808,0,0,2182,0
119.25,-30.75,emu,20,2,0,0,18,0
145.75,-31.25,emu,194,14,4,0,176,0
138.25,-29.25,emu,115,41,0,0,74,0
115.75,-26.75,emu,56,3,0,0,53,0
131.75,-24.25,red_kangaroo,185,137,0,0,48,0
141.25,-32.25,emu,162,34,0,0,128,0
134.25,-28.75,red_kangaroo,220,198,0,0,22,0
136.75,-29.25,emu,40,5,0,0,35,0
144.25,-30.25,emu,45,9,6,0,30,0
143.75,-25.25,emu,21,1,4,0,16,0
118.75,-22.75,emu,10,1,0,0,9,0
138.25,-33.25,red_kangaroo,18,8,2,1,7,0
141.25,-33.25,emu,286,43,2,0,241,0
138.75,-30.25,red_kangaroo,674,411,0,0,263,0
143.25,-18.25,emu,116,10,5,0,101,0
142.25,-32.75,emu,193,25,2,0,166,0
146.75,-25.25,emu,28,1,1,6,20,0
117.25,-29.25,emu,42,1,0,0,41,0
141.25,-29.75,emu,24,5,0,0,19,0
145.25,-21.25,emu,23,1,0,2,20,0
142.25,-31.75,emu,89,6,0,0,83,0
117.75,-27.25,emu,113,6,0,0,107,0
135.25,-29.75,red_kangaroo,474,394,0,0,80,0
140.75,-27.75,emu,82,31,0,0,51,0
132.75,-25.25,red_kangaroo,26,19,0,0,7,0
137.25,-31.75,red_kangaroo,602,476,0,0,126,0
139.25,-32.75,red_kangaroo,717,545,0,0,172,0
143.75,-31.25,red_kangaroo,472,395,9,0,68,0
149.75,-30.25,eastern_grey_kangaroo,651,2,423,57,168,1
146.75,-30.25,emu,96,2,0,3,91,0
125.75,-32.25,emu,19,1,0,0,18,0
140.75,-33.25,red_kangaroo,407,211,0,0,196,0
146.75,-28.75,emu,29,3,0,0,26,0
136.25,-33.25,emu,52,4,0,0,48,0
144.25,-31.75,emu,193,79,1,0,113,0
149.25,-26.75,eastern_grey_kangaroo,21,2,9,5,5,0
140.25,-33.75,emu,825,105,1,0,719,0
138.75,-30.75,emu,295,129,0,0,166,0
137.25,-30.75,red_kangaroo,489,417,0,0,72,0
114.75,-26.75,emu,27,1,0,0,26,0
145.25,-22.75,emu,79,2,0,2,75,0
145.25,-29.25,emu,157,55,1,0,101,0
120.25,-27.25,emu,10,1,0,0,9,0
135.75,-32.25,red_kangaroo,1723,1107,0,0,616,0
135.25,-30.75,red_kangaroo,569,509,0,1,59,0
148.25,-25.75,emu,21,1,6,3,11,0
117.75,-28.25,emu,45,2,0,0,43,0
144.75,-21.25,emu,37,1,2,11,23,0
133.25,-22.75,red_kangaroo,45,42,0,0,3,0
135.75,-28.25,emu,12,2,0,0,10,0
144.75,-20.75,koala,34,7,7,10,10,0
136.25,-32.75,red_kangaroo,904,471,0,0,433,0
146.25,-19.75,emu,35,1,10,3,20,1
143.25,-33.25,emu,63,5,0,0,58,0
147.75,-30.25,emu,117,8,14,1,93,1
145.75,-31.75,emu,131,5,5,0,121,0
136.75,-30.75,red_kangaroo,659,558,0,0,101,0
116.75,-28.75,emu,12,1,0,0,11,0
141.25,-31.75,emu,517,101,24,0,392,0
136.75,-31.25,red_kangaroo,416,257,0,0,159,0
142.25,-29.75,emu,69,5,0,0,64,0
141.75,-22.75,emu,27,1,0,0,26,0
118.75,-30.75,emu,59,2,0,0,57,0
144.25,-34.25,emu,197,44,39,0,113,1
145.25,-28.25,emu,291,3,1,0,287,0
130.75,-25.25,red_kangaroo,34,27,0,0,7,0
144.75,-33.75,emu,168,4,42,0,122,0
140.25,-32.25,emu,5765,2697,1,0,3067,0
142.75,-35.25,emu,43,2,0,0,41,0
142.25,-22.75,emu,16,2,0,0,14,0
145.25,-32.75,emu,552,10,9,0,533,0
145.25,-34.75,emu,219,18,8,0,193,0
148.25,-22.25,koala,64,2,4,31,27,0
145.25,-30.25,emu,227,36,27,0,164,0
138.25,-32.25,red_kangaroo,726,399,3,0,324,0
145.25,-34.25,emu,345,46,67,0,231,1
139.25,-32.25,red_kangaroo,529,423,0,0,106,0
140.75,-29.25,emu,17,3,0,0,14,0
114.25,-25.75,emu,58,2,0,0,56,0
135.25,-31.25,red_kangaroo,304,251,0,0,53,0
140.25,-22.75,emu,31,2,0,0,29,0
117.25,-29.75,emu,839,194,0,0,645,0
145.75,-24.75,emu,29,1,0,6,22,0
143.75,-34.75,emu,444,25,33,0,386,0
144.25,-29.75,emu,180,33,7,0,140,0
135.25,-30.25,red_kangaroo,620,558,0,0,62,0
