species,common_name,lat,lon,year,state_code
red_kangaroo,Red Kangaroo,-34.175,142.4774,2017,NSW
red_kangaroo,Red Kangaroo,-30.1301,138.74,1982,SA
red_kangaroo,Red Kangaroo,-30.125,139.5631,2011,SA
red_kangaroo,Red Kangaroo,-27.0301,133.93,2001,SA
red_kangaroo,Red Kangaroo,-31.9704,140.0729,2020,SA
red_kangaroo,Red Kangaroo,-32.1653,135.7315,2022,SA
red_kangaroo,Red Kangaroo,-30.875,136.3143,2010,SA
red_kangaroo,Red Kangaroo,-30.9572,148.3791,2013,NSW
red_kangaroo,Red Kangaroo,-32.4773,136.0197,2020,SA
red_kangaroo,Red Kangaroo,-32.8801,139.83,1994,SA
red_kangaroo,Red Kangaroo,-30.375,138.5553,2012,SA
red_kangaroo,Red Kangaroo,-30.5707,139.1786,2021,SA
red_kangaroo,Red Kangaroo,-34.6333,146.0833,,NSW
red_kangaroo,Red Kangaroo,-31.3706,139.1712,2009,SA
red_kangaroo,Red Kangaroo,-30.1301,135.41,2003,SA
red_kangaroo,Red Kangaroo,-29.4866,142.2776,2023,NSW
red_kangaroo,Red Kangaroo,-34.2252,142.6976,2022,NSW
red_kangaroo,Red Kangaroo,-31.9807,141.3686,2017,NSW
red_kangaroo,Red Kangaroo,-34.2372,142.6916,2019,NSW
red_kangaroo,Red Kangaroo,-24.9766,132.0384,2010,NT
red_kangaroo,Red Kangaroo,-30.6301,134.46,1999,SA
red_kangaroo,Red Kangaroo,-33.95,145.0333,1981,NSW
red_kangaroo,Red Kangaroo,-30.1301,138.05,1981,SA
red_kangaroo,Red Kangaroo,-32.6301,140.73,2001,SA
red_kangaroo,Red Kangaroo,-31.5,140.6,2011,SA
red_kangaroo,Red Kangaroo,-34.2372,142.6916,2019,NSW
red_kangaroo,Red Kangaroo,-29.8801,133.47,1978,SA
red_kangaroo,Red Kangaroo,-31.0631,140.7337,2012,SA
red_kangaroo,Red Kangaroo,-31.45,143.65,1966,NSW
red_kangaroo,Red Kangaroo,-29.3742,134.884,2013,SA
red_kangaroo,Red Kangaroo,-31.45,143.65,1966,NSW
red_kangaroo,Red Kangaroo,-24.8254,144.734,2022,QLD
red_kangaroo,Red Kangaroo,-31.3801,137.46,2000,SA
red_kangaroo,Red Kangaroo,-31.2714,138.7682,2004,SA
red_kangaroo,Red Kangaroo,-31.989,140.0729,2021,SA
red_kangaroo,Red Kangaroo,-30.569,139.1425,2023,SA
red_kangaroo,Red Kangaroo,-31.9704,140.0729,2021,SA
red_kangaroo,Red Kangaroo,-32.5042,136.7329,1985,SA
red_kangaroo,Red Kangaroo,-32.0019,140.1936,2023,SA
red_kangaroo,Red Kangaroo,-31.2078,138.7427,2005,SA
red_kangaroo,Red Kangaroo,-31.1301,135.61,1985,SA
red_kangaroo,Red Kangaroo,-34.2079,142.6108,2022,NSW
red_kangaroo,Red Kangaroo,-31.9235,140.0731,2020,SA
red_kangaroo,Red Kangaroo,-27.0301,134.0,1997,SA
red_kangaroo,Red Kangaroo,-31.1301,140.77,1983,SA
red_kangaroo,Red Kangaroo,-30.8756,139.3942,2009,SA
red_kangaroo,Red Kangaroo,-32.3801,140.85,1996,SA
red_kangaroo,Red Kangaroo,-21.7396,133.4538,2006,NT
red_kangaroo,Red Kangaroo,-31.8801,134.61,1993,SA
red_kangaroo,Red Kangaroo,-31.375,140.46,2012,SA
red_kangaroo,Red Kangaroo,-31.7602,140.5813,2022,SA
red_kangaroo,Red Kangaroo,-30.6544,148.7078,2023,NSW
red_kangaroo,Red Kangaroo,-31.6301,140.43,1983,SA
red_kangaroo,Red Kangaroo,-32.6301,140.67,1997,SA
red_kangaroo,Red Kangaroo,-33.4003,141.2974,1996,NSW
red_kangaroo,Red Kangaroo,-31.4228,138.7169,2017,SA
red_kangaroo,Red Kangaroo,-31.1301,138.35,1998,SA
red_kangaroo,Red Kangaroo,-32.375,138.62,2013,SA
red_kangaroo,Red Kangaroo,-30.8801,137.29,2007,SA
red_kangaroo,Red Kangaroo,-30.8801,137.14,1982,SA
red_kangaroo,Red Kangaroo,-34.18,142.8129,2017,NSW
red_kangaroo,Red Kangaroo,-31.9235,140.0731,2021,SA
red_kangaroo,Red Kangaroo,-31.1301,137.23,2003,SA
red_kangaroo,Red Kangaroo,-30.8801,136.24,2003,SA
red_kangaroo,Red Kangaroo,-31.1456,138.8454,2021,SA
red_kangaroo,Red Kangaroo,-31.6301,140.29,2007,SA
red_kangaroo,Red Kangaroo,-29.8801,138.54,1982,SA
red_kangaroo,Red Kangaroo,-30.875,137.4787,2014,SA
red_kangaroo,Red Kangaroo,-32.875,138.4861,2018,SA
red_kangaroo,Red Kangaroo,-30.6789,138.5294,1997,SA
red_kangaroo,Red Kangaroo,-34.2266,142.7457,2018,NSW
red_kangaroo,Red Kangaroo,-29.6301,133.96,1984,SA
red_kangaroo,Red Kangaroo,-34.2252,142.6976,2022,NSW
red_kangaroo,Red Kangaroo,-30.8801,136.95,1996,SA
red_kangaroo,Red Kangaroo,-18.4005,136.2087,1999,NT
red_kangaroo,Red Kangaroo,-34.2252,142.6976,2022,NSW
red_kangaroo,Red Kangaroo,-31.6301,135.79,1993,SA
red_kangaroo,Red Kangaroo,-31.9704,140.0729,2020,SA
red_kangaroo,Red Kangaroo,-30.1301,134.33,1989,SA
red_kangaroo,Red Kangaroo,-29.6301,133.8,2005,SA
red_kangaroo,Red Kangaroo,-27.9963,145.6127,2015,QLD
red_kangaroo,Red Kangaroo,-32.0626,140.6347,2020,SA
red_kangaroo,Red Kangaroo,-32.0177,140.1033,2021,SA
red_kangaroo,Red Kangaroo,-29.8801,134.11,2007,SA
red_kangaroo,Red Kangaroo,-34.2666,142.7433,2022,NSW
red_kangaroo,Red Kangaroo,-32.5625,137.7266,2015,SA
red_kangaroo,Red Kangaroo,-34.2266,142.7135,2019,NSW
red_kangaroo,Red Kangaroo,-31.875,139.2833,2013,SA
red_kangaroo,Red Kangaroo,-31.3801,135.69,1999,SA
red_kangaroo,Red Kangaroo,-31.375,138.4589,2013,SA
red_kangaroo,Red Kangaroo,-32.6301,138.67,1985,SA
red_kangaroo,Red Kangaroo,-31.3801,137.38,1990,SA
red_kangaroo,Red Kangaroo,-31.125,139.4369,2011,SA
red_kangaroo,Red Kangaroo,-33.0625,139.9463,2015,SA
red_kangaroo,Red Kangaroo,-34.1277,142.5463,2018,NSW
red_kangaroo,Red Kangaroo,-31.2714,138.7682,2008,SA
red_kangaroo,Red Kangaroo,-34.1741,142.4614,2022,NSW
red_kangaroo,Red Kangaroo,-32.3737,134.4854,2017,SA
red_kangaroo,Red Kangaroo,-28.7342,149.6049,1996,NSW
red_kangaroo,Red Kangaroo,-32.1506,140.2678,2021,SA
red_kangaroo,Red Kangaroo,-32.9375,137.3562,2015,SA
red_kangaroo,Red Kangaroo,-31.125,140.9333,2012,SA
red_kangaroo,Red Kangaroo,-20.2486,130.2513,1981,NT
red_kangaroo,Red Kangaroo,-31.4346,138.5735,2019,SA
red_kangaroo,Red Kangaroo,-28.1466,148.6205,2024,QLD
red_kangaroo,Red Kangaroo,-31.1301,136.46,2004,SA
red_kangaroo,Red Kangaroo,-31.8801,140.8,2003,SA
red_kangaroo,Red Kangaroo,-32.1301,139.12,2003,SA
red_kangaroo,Red Kangaroo,-32.3801,140.43,1994,SA
red_kangaroo,Red Kangaroo,-20.0007,137.3015,1999,NT
red_kangaroo,Red Kangaroo,-30.3801,133.44,1986,SA
red_kangaroo,Red Kangaroo,-18.3058,135.5893,1999,NT
red_kangaroo,Red Kangaroo,-30.3935,139.2459,2022,SA
red_kangaroo,Red Kangaroo,-31.989,140.0729,2021,SA
red_kangaroo,Red Kangaroo,-23.5167,133.2667,1962,NT
red_kangaroo,Red Kangaroo,-30.1636,137.7586,2011,SA
red_kangaroo,Red Kangaroo,-30.6939,134.1861,2015,SA
red_kangaroo,Red Kangaroo,-30.6301,138.14,1990,SA
red_kangaroo,Red Kangaroo,-31.3801,140.73,1984,SA
red_kangaroo,Red Kangaroo,-32.6301,139.13,1984,SA
red_kangaroo,Red Kangaroo,-31.45,143.65,1966,NSW
red_kangaroo,Red Kangaroo,-28.0478,145.603,2015,QLD
red_kangaroo,Red Kangaroo,-32.1087,140.7021,2020,SA
red_kangaroo,Red Kangaroo,-31.9149,140.1123,2020,SA
red_kangaroo,Red Kangaroo,-31.9447,140.108,2023,SA
red_kangaroo,Red Kangaroo,-32.1301,135.02,1989,SA
red_kangaroo,Red Kangaroo,-30.375,136.23,2012,SA
red_kangaroo,Red Kangaroo,-34.2275,142.7782,2018,NSW
red_kangaroo,Red Kangaroo,-29.6301,138.14,1997,SA
red_kangaroo,Red Kangaroo,-30.5706,139.4381,2021,SA
red_kangaroo,Red Kangaroo,-33.7783,140.9916,1992,SA
red_kangaroo,Red Kangaroo,-30.5586,139.2498,2016,SA
red_kangaroo,Red Kangaroo,-32.6301,135.48,1985,SA
red_kangaroo,Red Kangaroo,-31.3648,138.764,2021,SA
red_kangaroo,Red Kangaroo,-30.1237,139.6431,2009,SA
red_kangaroo,Red Kangaroo,-31.9235,140.0731,2022,SA
red_kangaroo,Red Kangaroo,-31.375,139.3257,2013,SA
red_kangaroo,Red Kangaroo,-32.6301,139.65,1999,SA
red_kangaroo,Red Kangaroo,-31.6301,138.02,1983,SA
red_kangaroo,Red Kangaroo,-29.623,138.4709,2018,SA
red_kangaroo,Red Kangaroo,-32.016,139.9969,2020,SA
red_kangaroo,Red Kangaroo,-31.875,139.7071,2010,SA
red_kangaroo,Red Kangaroo,-31.989,140.0729,2020,SA
red_kangaroo,Red Kangaroo,-30.625,136.9004,2014,SA
red_kangaroo,Red Kangaroo,-30.8801,137.39,1984,SA
red_kangaroo,Red Kangaroo,-30.6301,138.26,1985,SA
red_kangaroo,Red Kangaroo,-29.6301,137.91,1995,SA
red_kangaroo,Red Kangaroo,-31.2078,138.7427,2005,SA
red_kangaroo,Red Kangaroo,-31.1301,140.06,1985,SA
red_kangaroo,Red Kangaroo,-32.5818,146.9845,2000,NSW
red_kangaroo,Red Kangaroo,-30.8801,140.86,2006,SA
red_kangaroo,Red Kangaroo,-32.8801,137.55,1987,SA
red_kangaroo,Red Kangaroo,-31.8801,137.97,1990,SA
red_kangaroo,Red Kangaroo,-29.1301,134.94,2004,SA
red_kangaroo,Red Kangaroo,-29.8876,133.5887,2011,SA
red_kangaroo,Red Kangaroo,-20.7027,135.1224,2004,NT
red_kangaroo,Red Kangaroo,-33.375,139.2663,2013,SA
red_kangaroo,Red Kangaroo,-29.8801,133.6,2005,SA
red_kangaroo,Red Kangaroo,-30.8801,137.51,1980,SA
red_kangaroo,Red Kangaroo,-31.3801,139.69,2000,SA
red_kangaroo,Red Kangaroo,-23.5167,133.2667,1962,NT
red_kangaroo,Red Kangaroo,-31.4146,138.71,2007,SA
red_kangaroo,Red Kangaroo,-29.8801,133.29,1990,SA
red_kangaroo,Red Kangaroo,-32.125,140.0486,2018,SA
red_kangaroo,Red Kangaroo,-31.6301,135.07,1986,SA
red_kangaroo,Red Kangaroo,-30.8125,138.9548,2009,SA
red_kangaroo,Red Kangaroo,-31.8801,140.73,1987,SA
red_kangaroo,Red Kangaroo,-30.5671,139.1518,2023,SA
red_kangaroo,Red Kangaroo,-31.375,139.6177,2018,SA
red_kangaroo,Red Kangaroo,-32.1301,138.19,1995,SA
red_kangaroo,Red Kangaroo,-31.1301,136.46,2003,SA
red_kangaroo,Red Kangaroo,-31.8801,137.25,1981,SA
red_kangaroo,Red Kangaroo,-23.8319,134.2346,1984,NT
red_kangaroo,Red Kangaroo,-23.1667,132.15,1969,NT
red_kangaroo,Red Kangaroo,-34.1978,142.5812,2018,NSW
red_kangaroo,Red Kangaroo,-30.6301,136.23,2002,SA
red_kangaroo,Red Kangaroo,-32.8801,139.89,1995,SA
red_kangaroo,Red Kangaroo,-31.4146,138.71,2006,SA
red_kangaroo,Red Kangaroo,-30.6301,137.96,1985,SA
red_kangaroo,Red Kangaroo,-32.0189,140.0588,2020,SA
red_kangaroo,Red Kangaroo,-27.718,134.5262,2009,SA
red_kangaroo,Red Kangaroo,-32.1151,127.3605,1984,WA
red_kangaroo,Red Kangaroo,-32.1441,135.8294,2021,SA
red_kangaroo,Red Kangaroo,-23.426,132.9602,2004,NT
red_kangaroo,Red Kangaroo,-30.3801,139.51,1986,SA
red_kangaroo,Red Kangaroo,-31.6301,135.23,1982,SA
red_kangaroo,Red Kangaroo,-32.3801,139.47,1982,SA
red_kangaroo,Red Kangaroo,-23.5167,133.2667,,NT
red_kangaroo,Red Kangaroo,-31.4492,143.8691,2025,NSW
red_kangaroo,Red Kangaroo,-30.3808,139.2815,2023,SA
red_kangaroo,Red Kangaroo,-31.9704,140.0729,2020,SA
red_kangaroo,Red Kangaroo,-31.3274,138.6296,2019,SA
red_kangaroo,Red Kangaroo,-31.2567,138.6179,2021,SA
